contract,initial_date,final_date
PAH0,2019-11-24,2020-02-21
PAM0,2020-02-23,2020-05-22
PAU0,2020-05-24,2020-08-28
PAZ0,2020-08-30,2020-11-27
PAH1,2020-11-29,2021-02-19
PAM1,2021-02-21,2021-05-28
PAU1,2021-05-30,2021-08-27
PAZ1,2021-08-29,2021-11-26
PAH2,2021-11-28,2022-02-25
PAM2,2022-02-27,2022-05-27
PAU2,2022-05-29,2022-08-26
PAZ2,2022-08-28,2022-11-25
