contract,initial_date,final_date
6MH0,2019-12-15,2020-03-13
6MM0,2020-03-15,2020-06-12
6MU0,2020-06-14,2020-09-11
6MZ0,2020-09-13,2020-12-11
6MH1,2020-12-13,2021-03-12
6MM1,2021-03-14,2021-06-11
6MU1,2021-06-13,2021-09-10
6MZ1,2021-09-12,2021-12-10
6MH2,2021-12-12,2022-03-11
6MM2,2022-03-12,2022-06-10
6MU2,2022-06-12,2022-09-16
6MZ2,2022-09-18,2022-12-16
