contract,initial_date,final_date
H0,2019-12-15,2020-03-13
M0,2020-03-15,2020-06-12
U0,2020-06-14,2020-09-11
Z0,2020-09-13,2020-12-11
H1,2020-12-13,2021-03-12
M1,2021-03-14,2021-06-11
U1,2021-06-13,2021-09-10
Z1,2021-09-12,2021-12-10
H2,2021-12-12,2022-03-11
M2,2022-03-13,2022-06-10
U2,2022-06-12,2022-09-09
Z2,2022-09-11,2022-12-09
H3,2022-12-11,2023-03-10
M3,2023-03-12,2023-06-09
U3,2023-06-11,2023-09-08
Z3,2023-09-10,2023-12-08
